Pin Designator,Net Name
1,boot_addr_serial_in
2,VSS
3,serdes_instr_rdata_i[15]
4,VSS
5,serdes_instr_rdata_i[14]
6,VSS
7,serdes_instr_rdata_i[13]
8,VSS
9,serdes_instr_rdata_i[12]
10,VSS
11,serdes_instr_rdata_i[11]
12,VSS
13,serdes_instr_rdata_i[10]
14,VSS
15,serdes_instr_rdata_i[9]
16,VSS
17,serdes_instr_rdata_i[8]
18,VSS
19,serdes_instr_rdata_i[7]
20,VSS
21,serdes_instr_rdata_i[6]
22,VSS
23,serdes_instr_rdata_i[5]
24,VSS
25,serdes_instr_rdata_i[4]
26,VSS
27,serdes_instr_rdata_i[3]
28,VSS
29,serdes_instr_rdata_i[2]
30,RESERVED
31,serdes_instr_rdata_i[1]
32,VSS
33,serdes_instr_rdata_i[0]
34,VSS
35,serdes_instr_addr_o[15]
36,VSS
37,serdes_instr_addr_o[14]
38,VSS
39,serdes_instr_addr_o[13]
40,VSS
41,serdes_instr_addr_o[12]
42,VSS
43,serdes_instr_addr_o[11]
44,VSS
45,serdes_instr_addr_o[10]
46,VSS
47,serdes_instr_addr_o[9]
48,VSS
49,serdes_instr_addr_o[8]
50,VSS
51,serdes_instr_addr_o[7]
52,VSS
53,serdes_instr_addr_o[6]
54,VSS
55,serdes_instr_addr_o[5]
56,VSS
57,serdes_instr_addr_o[4]
58,VSS
59,serdes_instr_addr_o[3]
60,RESERVED
61,serdes_instr_addr_o[2]
62,VSS
63,serdes_instr_addr_o[1]
64,CAL_GND_OR_DGS
65,serdes_instr_addr_o[0]
66,VSS
67,CAL_FORCE
68,VSS
